,Suburb,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Address Type,YrSold,MonthSold,DaySold,MissingValues
58,Airport West,2,u,462500.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,126.0,2003.0,Moonee Valley,-37.7218,144.8863,Western,3464.0,St,2016,7,16,False
59,Airport West,3,h,670000.0,SP,Barry,13.5,3042.0,3.0,2.0,2.0,126.0,0.0,Moonee Valley,-37.7269,144.8742,Western,3464.0,Gr,2016,7,16,True
60,Airport West,2,h,675000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western,3464.0,Rd,2016,7,16,False
61,Airport West,3,h,1042000.0,S,Nelson,13.5,3042.0,3.0,2.0,5.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western,3464.0,Rd,2016,7,16,False
62,Airport West,3,h,910000.0,S,Lessthan50,13.5,3042.0,3.0,1.0,1.0,126.0,0.0,Moonee Valley,-37.7231,144.8835,Western,3464.0,St,2016,9,17,True
63,Airport West,4,h,773000.0,S,Brad,13.5,3042.0,5.0,3.0,4.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western,3464.0,St,2016,9,17,False
64,Airport West,3,h,810000.0,PI,Barry,13.5,3042.0,3.0,3.0,2.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western,3464.0,Rd,2017,3,18,False
65,Airport West,3,h,715000.0,S,Rendina,13.5,3042.0,3.0,2.0,2.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western,3464.0,Rd,2017,3,18,False
66,Airport West,3,h,790000.0,S,Nelson,13.5,3042.0,3.0,1.0,3.0,126.0,0.0,Moonee Valley,-37.7194,144.8827,Western,3464.0,Rd,2017,3,18,True
67,Airport West,3,t,540000.0,SP,Nelson,13.5,3042.0,2.0,2.0,1.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western,3464.0,Rd,2016,6,18,False
68,Airport West,3,t,825000.0,SP,Barry,13.5,3042.0,3.0,2.0,1.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western,3464.0,St,2016,11,19,False
69,Airport West,3,h,685000.0,S,Barry,13.5,3042.0,3.0,1.0,1.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western,3464.0,Rd,2016,5,22,False
70,Airport West,3,h,805000.0,S,Barry,13.5,3042.0,3.0,1.0,1.0,126.0,0.0,Moonee Valley,-37.7184,144.882,Western,3464.0,Rd,2016,8,22,True
71,Airport West,2,u,510000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,76.0,0.0,Moonee Valley,-37.7202,144.8797,Western,3464.0,St,2016,8,22,True
72,Airport West,3,h,612000.0,S,Nelson,13.5,3042.0,3.0,2.0,1.0,126.0,0.0,Moonee Valley,-37.7181,144.8824,Western,3464.0,Rd,2016,8,22,True
73,Airport West,3,h,662000.0,S,Brad,13.5,3042.0,3.0,1.0,2.0,126.0,0.0,Moonee Valley,-37.7169,144.8815,Western,3464.0,Rd,2016,4,23,True
74,Airport West,4,h,978000.0,S,Nelson,13.5,3042.0,4.0,3.0,2.0,126.0,0.0,Moonee Valley,-37.7263,144.869,Western,3464.0,Dr,2016,9,24,True
75,Airport West,3,h,720000.0,PI,Nelson,13.5,3042.0,3.0,1.0,1.0,126.0,0.0,Moonee Valley,-37.72,144.878,Western,3464.0,St,2017,2,25,True
76,Airport West,4,h,765000.0,S,Lessthan50,13.5,3042.0,4.0,1.0,2.0,126.0,0.0,Moonee Valley,-37.7261,144.8785,Western,3464.0,Rd,2016,11,27,True
77,Airport West,4,h,900000.0,S,Harcourts,13.5,3042.0,4.0,2.0,3.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western,3464.0,Rd,2016,11,27,False
78,Albert Park,2,h,1275000.0,S,hockingstuart,3.3,3206.0,2.0,1.0,0.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern,3280.0,Rd,2016,3,9,False
79,Albert Park,2,h,1455000.0,S,Lessthan50,3.3,3206.0,2.0,1.0,0.0,126.0,0.0,Port Phillip,-37.845,144.9538,Southern,3280.0,St,2016,3,9,True
80,Albert Park,3,h,2850000.0,PI,Buxton,3.3,3206.0,3.0,2.0,0.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,Southern,3280.0,Pde,2017,4,3,False
81,Albert Park,3,h,1850000.0,S,Greg,3.3,3206.0,3.0,2.0,0.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,Southern,3280.0,St,2017,4,3,False
82,Albert Park,2,h,1436000.0,S,RT,3.3,3206.0,2.0,1.0,0.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern,3280.0,St,2017,4,3,False
83,Albert Park,2,h,1110000.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,126.0,1900.0,Port Phillip,-37.8444,144.9484,Southern,3280.0,St,2016,6,8,False
84,Albert Park,2,h,1550000.0,S,Lessthan10,3.3,3206.0,2.0,1.0,1.0,126.0,0.0,Port Phillip,-37.8405,144.9521,Southern,3280.0,St,2016,7,5,True
85,Albert Park,4,h,2300000.0,S,Marshall,3.3,3206.0,4.0,2.0,1.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,Southern,3280.0,St,2016,7,5,False
86,Albert Park,3,t,1550000.0,VB,Marshall,3.3,3206.0,3.0,2.0,2.0,126.0,0.0,Port Phillip,-37.8443,144.9598,Southern,3280.0,St,2016,7,11,True
87,Albert Park,3,h,1800000.0,VB,Greg,3.3,3206.0,3.0,2.0,1.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern,3280.0,St,2016,7,11,False
88,Albert Park,2,h,2120000.0,S,Greg,3.3,3206.0,2.0,1.0,1.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern,3280.0,St,2016,10,9,False
89,Albert Park,3,h,1800000.0,VB,Cayzer,3.3,3206.0,3.0,1.0,1.0,126.0,0.0,Port Phillip,-37.8443,144.9579,Southern,3280.0,St,2016,10,9,True
90,Albert Park,3,h,1800000.0,S,Marshall,3.3,3206.0,3.0,2.0,1.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern,3280.0,Pl,2016,10,9,False
91,Albert Park,2,h,1810000.0,PI,Greg,3.3,3206.0,2.0,1.0,0.0,126.0,0.0,Port Phillip,-37.8379,144.9539,Southern,3280.0,St,2016,10,12,True
92,Albert Park,3,h,2615000.0,S,Cayzer,3.3,3206.0,3.0,2.0,1.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern,3280.0,Pl,2016,10,12,False
93,Albert Park,5,h,2100000.0,S,Greg,3.3,3206.0,5.0,2.0,1.0,126.0,0.0,Port Phillip,-37.8436,144.9557,Southern,3280.0,St,2016,10,12,True
94,Albert Park,3,h,1300000.0,S,hockingstuart,3.3,3206.0,3.0,1.0,0.0,126.0,0.0,Port Phillip,-37.8422,144.94899999999996,Southern,3280.0,St,2016,10,12,True
95,Albert Park,3,h,1370000.0,S,Greg,3.3,3206.0,3.0,2.0,2.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern,3280.0,La,2016,12,6,False
96,Albert Park,2,h,1000000.0,S,Cayzer,3.3,3206.0,2.0,1.0,0.0,126.0,0.0,Port Phillip,-37.8407,144.9523,Southern,3280.0,St,2016,12,11,True
97,Albert Park,3,h,2575000.0,S,Greg,3.3,3206.0,3.0,2.0,1.0,126.0,0.0,Port Phillip,-37.8445,144.9501,Southern,3280.0,St,2016,10,15,True
98,Albert Park,2,h,1322500.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,Southern,3280.0,St,2016,10,15,False
99,Albert Park,2,h,1562500.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,Southern,3280.0,St,2016,10,15,False
100,Albert Park,3,h,2000000.0,VB,RT,3.3,3206.0,3.0,2.0,1.0,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern,3280.0,St,2016,4,16,False
101,Albert Park,3,h,1900000.0,S,Greg,3.3,3206.0,3.0,1.0,0.0,126.0,1900.0,Port Phillip,-37.8468,144.9546,Southern,3280.0,Rd,2017,3,18,False
102,Albert Park,3,h,3010000.0,S,Greg,3.3,3206.0,3.0,2.0,0.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,Southern,3280.0,St,2017,3,18,False
103,Albert Park,4,h,2800000.0,VB,Cayzer,3.3,3206.0,4.0,3.0,1.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,Southern,3280.0,St,2016,6,18,False
104,Albert Park,2,u,647000.0,S,Greg,3.3,3206.0,2.0,1.0,1.0,126.0,0.0,Port Phillip,-37.846,144.9542,Southern,3280.0,Rd,2016,5,22,True
105,Albert Park,3,h,2100000.0,SP,Marshall,3.3,3206.0,2.0,1.0,1.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,Southern,3280.0,St,2016,4,23,False
106,Albert Park,3,h,2000000.0,PI,Marshall,3.3,3206.0,3.0,1.0,1.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,Southern,3280.0,St,2016,9,24,False
107,Albert Park,1,u,442500.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern,3280.0,St,2017,2,25,False
108,Albert Park,4,h,4735000.0,S,Marshall,3.3,3206.0,4.0,2.0,1.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern,3280.0,St,2017,2,25,False
109,Albert Park,2,h,1340000.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,126.0,0.0,Port Phillip,-37.846,144.9517,Southern,3280.0,St,2017,2,25,True
110,Albert Park,3,h,1801000.0,S,hockingstuart,3.3,3206.0,3.0,1.0,1.0,126.0,0.0,Port Phillip,-37.8429,144.9493,Southern,3280.0,St,2017,2,25,True
111,Albert Park,3,h,1532000.0,S,Chisholm,3.3,3206.0,3.0,3.0,1.0,126.0,0.0,Port Phillip,-37.8415,144.9585,Southern,3280.0,Pl,2016,7,26,True
112,Albert Park,3,h,3755000.0,S,Greg,3.3,3206.0,3.0,2.0,2.0,126.0,0.0,Port Phillip,-37.8413,144.95,Southern,3280.0,St,2016,7,26,True
113,Albert Park,4,h,2140000.0,S,Greg,3.3,3206.0,3.0,2.0,1.0,145.0,1880.0,Port Phillip,-37.8434,144.9495,Southern,3280.0,St,2016,6,27,False
114,Albert Park,2,h,1750000.0,S,Marshall,3.3,3206.0,2.0,1.0,1.0,126.0,0.0,Port Phillip,-37.8416,144.9488,Southern,3280.0,St,2016,11,27,True
115,Albert Park,2,h,980000.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,68.0,1890.0,Port Phillip,-37.8387,144.9519,Southern,3280.0,St,2016,5,28,False
116,Albert Park,3,h,2030000.0,S,hockingstuart,3.3,3206.0,3.0,2.0,0.0,126.0,0.0,Port Phillip,-37.8488,144.9551,Southern,3280.0,St,2016,8,28,True
117,Albert Park,3,h,1740000.0,PI,Marshall,3.3,3206.0,3.0,2.0,2.0,134.0,1890.0,Port Phillip,-37.8448,144.9453,Southern,3280.0,St,2016,8,28,False
118,Albert Park,3,h,2800000.0,VB,Buxton,3.3,3206.0,3.0,3.0,1.0,126.0,0.0,Port Phillip,-37.8399,144.9577,Southern,3280.0,St,2016,7,30,True
119,Albert Park,1,h,985000.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern,3280.0,St,2016,7,30,False
120,Lessthan50,4,h,2000000.0,S,Lessthan10,6.4,3078.0,3.0,2.0,4.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern,2211.0,St,2016,3,9,False
121,Lessthan50,3,h,1110000.0,S,Jellis,6.4,3078.0,3.0,2.0,2.0,126.0,2013.0,Yarra,-37.7854,145.0325,Northern,2211.0,St,2016,3,9,False
122,Lessthan50,3,h,1492000.0,S,Jellis,6.4,3078.0,3.0,2.0,2.0,126.0,0.0,Darebin,-37.7713,145.0279,Northern,2211.0,Rd,2017,4,3,True
123,Lessthan50,4,h,1717500.0,S,Collins,6.4,3078.0,4.0,2.0,1.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern,2211.0,St,2016,8,10,False
124,Lessthan50,5,h,2840000.0,S,Nelson,6.4,3078.0,5.0,4.0,4.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern,2211.0,Rd,2016,12,6,False
125,Lessthan50,2,u,525500.0,S,Miles,6.4,3078.0,2.0,1.0,1.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern,2211.0,St,2016,12,11,False
126,Lessthan50,2,t,805000.0,S,Miles,6.4,3078.0,2.0,2.0,3.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern,2211.0,St,2016,12,11,False
127,Lessthan50,2,u,465000.0,S,McGrath,6.4,3078.0,2.0,1.0,1.0,126.0,0.0,Darebin,-37.7773,145.0314,Northern,2211.0,Rd,2016,12,11,True
128,Lessthan50,3,h,2000000.0,PI,hockingstuart,6.4,3078.0,3.0,3.0,2.0,126.0,0.0,Darebin,-37.78,145.0341,Northern,2211.0,Rd,2016,10,15,True
129,Lessthan50,3,h,1540000.0,S,Nelson,6.4,3078.0,3.0,1.0,2.0,126.0,0.0,Darebin,-37.7755,145.0288,Northern,2211.0,Rd,2016,4,16,True
130,Lessthan50,2,u,820000.0,S,Nelson,6.4,3078.0,2.0,1.0,1.0,126.0,0.0,Darebin,-37.7747,145.0264,Northern,2211.0,Rd,2017,3,18,True
131,Lessthan50,4,h,1830000.0,S,Nelson,6.4,3078.0,4.0,2.0,2.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern,2211.0,St,2016,11,19,False
132,Lessthan50,4,h,2100000.0,S,Nelson,6.4,3078.0,4.0,2.0,2.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern,2211.0,St,2016,11,19,False
133,Lessthan50,3,h,865000.0,SP,hockingstuart,6.4,3078.0,3.0,1.0,1.0,131.0,2010.0,Darebin,-37.7802,145.0243,Northern,2211.0,St,2016,5,22,False
134,Lessthan50,2,u,390000.0,VB,Nelson,6.4,3078.0,2.0,1.0,1.0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern,2211.0,Rd,2016,5,22,False
135,Lessthan50,2,t,650000.0,SP,Lessthan10,6.4,3078.0,0.0,1.0,0.0,126.0,0.0,Yarra,-37.7848,145.025,Northern,2211.0,Hwy,2016,9,24,True
136,Lessthan50,2,u,512000.0,S,Love,6.4,3078.0,2.0,1.0,1.0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern,2211.0,Rd,2017,2,25,False
137,Lessthan50,3,h,1165000.0,S,Barry,6.4,3078.0,3.0,1.0,2.0,126.0,0.0,Yarra,-37.7792,145.029,Northern,2211.0,St,2016,6,27,True
138,Lessthan50,4,h,1900000.0,SP,McGrath,6.4,3078.0,4.0,2.0,2.0,272.0,1930.0,Yarra,-37.7844,145.0225,Northern,2211.0,Gr,2016,11,27,False
139,Lessthan50,3,h,1485000.0,SP,McGrath,6.4,3078.0,3.0,0.0,0.0,126.0,0.0,Darebin,-37.7781,145.0284,Northern,2211.0,Rd,2016,8,28,True
140,Lessthan50,4,h,1950000.0,S,Jellis,6.4,3078.0,4.0,2.0,3.0,210.0,1920.0,Darebin,-37.7719,145.0309,Northern,2211.0,St,2016,7,30,False
141,Altona,3,h,520000.0,VB,Greg,13.8,3018.0,3.0,2.0,1.0,242.0,2015.0,Hobsons Bay,-37.87,144.825,Western,5301.0,St,2016,3,9,False
142,Altona,5,h,1525000.0,S,Greg,13.8,3018.0,5.0,3.0,3.0,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,Western,5301.0,Gr,2016,3,12,False
143,Altona,2,t,720000.0,S,hockingstuart,13.8,3018.0,2.0,1.0,2.0,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,Western,5301.0,St,2016,4,2,False
144,Altona,3,h,1120000.0,S,Lessthan50,13.8,3018.0,3.0,1.0,2.0,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western,5301.0,St,2017,4,3,False
145,Altona,4,h,780000.0,PI,Sweeney,13.8,3018.0,4.0,1.0,4.0,126.0,0.0,Hobsons Bay,-37.868,144.8154,Western,5301.0,St,2016,4,6,True
146,Altona,4,h,1780000.0,SP,Greg,13.8,3018.0,4.0,3.0,6.0,220.0,1962.0,Hobsons Bay,-37.8681,144.819,Western,5301.0,St,2016,4,6,False
147,Altona,3,u,630000.0,S,Lessthan50,13.8,3018.0,2.0,1.0,2.0,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,Western,5301.0,St,2016,6,8,False
148,Altona,2,u,406000.0,SP,hockingstuart,13.8,3018.0,2.0,1.0,1.0,126.0,0.0,Hobsons Bay,-37.8693,144.8171,Western,5301.0,Pde,2016,6,8,True
